Category,WordPress Path,WordPress Title,WordPress Type,New Site Path (Client),New Site Path (Actual),Redirect Implemented,Client Decision,Discrepancy,Notes
Page,"=HYPERLINK(""https://grounded.world/brand-marketing-agency-services__trashed/market-research-agency/"",""/brand-marketing-agency-services__trashed/market-research-agency/"")",Discover,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/research"",""/services/research"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/discover"",""/services/discover"")",No,,"Yes - client says ""research"" but code has ""discover""",Slug mismatch: research vs discover
Page,"=HYPERLINK(""https://grounded.world/contact-us/"",""/contact-us/"")",CONTACT US,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/contact"",""/contact"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/contact-us"",""/contact-us"")",n/a (same path),,"Yes - client says /contact, code has /contact-us",Path mismatch: /contact vs /contact-us
Page,"=HYPERLINK(""https://grounded.world/gaia/"",""/gaia/"")",Gaia,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/gaia"",""/gaia"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/gaia"",""/gaia"")",n/a (same path),,No,Same path
Page,"=HYPERLINK(""https://grounded.world/itshouldntbethishard/"",""/itshouldntbethishard/"")",PODCAST,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/itshouldntbethishard"",""/itshouldntbethishard"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/itshouldntbethishard"",""/itshouldntbethishard"")",n/a (same path),,No,Same path (also /resources/podcast)
Page,"=HYPERLINK(""https://grounded.world/newsletter-sign-up/"",""/newsletter-sign-up/"")",NEWSLETTER SIGN UP,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/newsletter"",""/newsletter"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/newsletter"",""/newsletter"")",No,,No,Need 301 redirect
Page,"=HYPERLINK(""https://grounded.world/newsletter/"",""/newsletter/"")",NEWSLETTER,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/newsletter"",""/newsletter"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/newsletter"",""/newsletter"")",n/a (same path),,No,Same path
Page,"=HYPERLINK(""https://grounded.world/our-work/"",""/our-work/"")",OUR WORK,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work"",""/our-work"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work"",""/our-work"")",n/a (same path),,No,Same path
Page,"=HYPERLINK(""https://grounded.world/resources/"",""/resources/"")",RESOURCES,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources"",""/resources"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources"",""/resources"")",n/a (same path),,No,Same path
How To Guide,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-agency/"",""/activating-brand-purpose-agency/"")",Activating Brand Purpose Agency,page,,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/activating-brand-purpose-agency"",""/activating-brand-purpose-agency"")",n/a (same path),Yes - How To Guide under Resources (critical for EEAT),No,TinaCMS page exists but may need proper routing
How To Guide,"=HYPERLINK(""https://grounded.world/brand-activism-agency-new/"",""/brand-activism-agency-new/"")",Brand Activism Agency,page,,Does not exist,No,Yes - How To Guide under Resources (critical for EEAT),Yes - page missing,Need to create content
How To Guide,"=HYPERLINK(""https://grounded.world/social-impact-agency/"",""/social-impact-agency/"")",Social Impact Agency,page,,Does not exist,No,Yes - How To Guide under Resources (critical for EEAT),Yes - page missing,Need to create content (guides-social-impact.json may be related)
How To Guide,"=HYPERLINK(""https://grounded.world/sustainability-marketing-agency/"",""/sustainability-marketing-agency/"")",Sustainability Marketing Agency,page,,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/sustainability-marketing-agency"",""/sustainability-marketing-agency"")",n/a (same path),Yes - How To Guide under Resources (critical for EEAT),No,TinaCMS page exists but may need proper routing
Delete,"=HYPERLINK(""https://grounded.world/brand-activism-agency/"",""/brand-activism-agency/"")",Brand Activism (old),page,,n/a,No,Delete,No,Redirect to / or /services for link equity
Delete,"=HYPERLINK(""https://grounded.world/grounded-sizzle-video/"",""/grounded-sizzle-video/"")",SIZZLE REEL,page,,n/a,No,Delete,No,Redirect to /about-us for link equity
Delete,"=HYPERLINK(""https://grounded.world/non-profit-marketing-services/"",""/non-profit-marketing-services/"")",Non-profit Marketing,page,,n/a,No,Delete,No,Redirect to /services for link equity
Delete,"=HYPERLINK(""https://grounded.world/nonprofit-branding-agency/"",""/nonprofit-branding-agency/"")",Nonprofits Branding,page,,n/a,No,Delete,No,Redirect to /services for link equity
Delete,"=HYPERLINK(""https://grounded.world/start-up-branding-agency/"",""/start-up-branding-agency/"")",Branding for Startups,page,,n/a,No,Delete,No,Redirect to /services for link equity
Delete,"=HYPERLINK(""https://grounded.world/sustainable-fashion/"",""/sustainable-fashion/"")",Sustainable Fashion,page,,n/a,No,Delete,No,Redirect to /resources/articles for link equity
Delete,"=HYPERLINK(""https://grounded.world/terms/"",""/terms/"")",Terms & Conditions,page,,n/a,No,Delete,No,Consider recreating or redirect to /
Delete,"=HYPERLINK(""https://grounded.world/thank-you/"",""/thank-you/"")",Thank You,page,,n/a,No,Delete,No,Handle with inline form confirmation
Create,"=HYPERLINK(""https://grounded.world/privacy-policy"",""/privacy-policy"")",PRIVACY POLICY,page,,Does not exist,No,Include link from footer,Yes - page missing,Legally required - must create
Skip,"=HYPERLINK(""https://grounded.world/update/"",""/update/"")",Maintenance Mode,page,,n/a,No,Skip,No,Not needed
Sitemap,"=HYPERLINK(""https://grounded.world/our-voice/"",""/our-voice/"")",OUR VOICE,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources"",""/resources"")",Does not exist,No,,No,In production sitemap - needs 301
Sitemap,"=HYPERLINK(""https://grounded.world/our-latest-thinking/"",""/our-latest-thinking/"")",OUR LATEST THINKING,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles"",""/resources/articles"")",Does not exist,No,,No,In production sitemap - needs 301
Sitemap,"=HYPERLINK(""https://grounded.world/our-latest-thinking/startup-nonprofits-branding-new/"",""/our-latest-thinking/startup-nonprofits-branding-new/"")",Startup Nonprofits Branding,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles"",""/resources/articles"")",Does not exist,No,,No,In production sitemap - needs 301
Sitemap,"=HYPERLINK(""https://grounded.world/our-latest-thinking/activating-brand-purpose/"",""/our-latest-thinking/activating-brand-purpose/"")",Activating Brand Purpose,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles"",""/resources/articles"")",Does not exist,No,,No,In production sitemap - needs 301
Sitemap,"=HYPERLINK(""https://grounded.world/our-latest-thinking/brand-activism-new/"",""/our-latest-thinking/brand-activism-new/"")",Brand Activism,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles"",""/resources/articles"")",Does not exist,No,,No,In production sitemap - needs 301
Sitemap,"=HYPERLINK(""https://grounded.world/our-latest-thinking/social-impact-agencies-new/"",""/our-latest-thinking/social-impact-agencies-new/"")",Social Impact Agencies,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles"",""/resources/articles"")",Does not exist,No,,No,In production sitemap - needs 301
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-_mule-men/"",""/our-work/our-work-_mule-men/"")",Mule Men: Relief Delivered,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/mule-men"",""/our-work/mule-men"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/mule-men"",""/our-work/mule-men"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-_slumberland-ergo-smart-base/"",""/our-work/our-work-_slumberland-ergo-smart-base/"")",Slumberland + Ergo Smart Base,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/slumberland-ergo-smart-base"",""/our-work/slumberland-ergo-smart-base"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/slumberland-ergo-smart-base"",""/our-work/slumberland-ergo-smart-base"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-_slumberland-tsi/"",""/our-work/our-work-_slumberland-tsi/"")",Slumberland + TSI: Shopaphobia,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/slumberland-tsi"",""/our-work/slumberland-tsi"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/slumberland-tsi"",""/our-work/slumberland-tsi"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-_tempur-sealy-ashley-furniture/"",""/our-work/our-work-_tempur-sealy-ashley-furniture/"")",Tempur Sealy + Ashley Furniture,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/tempur-sealy-ashley-furniture"",""/our-work/tempur-sealy-ashley-furniture"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/tempur-sealy-ashley-furniture"",""/our-work/tempur-sealy-ashley-furniture"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-fresh-air-fund/"",""/our-work/our-work-fresh-air-fund/"")",Fresh Air Fund,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/fresh-air-fund"",""/our-work/fresh-air-fund"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/fresh-air-fund"",""/our-work/fresh-air-fund"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-interdesign/"",""/our-work/our-work-interdesign/"")",iDesign: Nature's Order,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/interdesign"",""/our-work/interdesign"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/interdesign"",""/our-work/interdesign"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-lycra/"",""/our-work/our-work-lycra/"")",The LYCRA Company: EcoMade,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra"",""/our-work/lycra"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra"",""/our-work/lycra"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-marys-center/"",""/our-work/our-work-marys-center/"")",Mary's Center,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/marys-center"",""/our-work/marys-center"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/marys-center"",""/our-work/marys-center"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-network-of-executive-women/"",""/our-work/our-work-network-of-executive-women/"")",Network of Executive Women,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/network-of-executive-women"",""/our-work/network-of-executive-women"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/network-of-executive-women"",""/our-work/network-of-executive-women"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-onesight/"",""/our-work/our-work-onesight/"")",OneSight: Brand Purpose,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/onesight"",""/our-work/onesight"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/onesight"",""/our-work/onesight"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-plan-x-unsplash/"",""/our-work/our-work-plan-x-unsplash/"")",Plan USA: Girls vs The Machine,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/plan-x-unsplash"",""/our-work/plan-x-unsplash"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/plan-x-unsplash"",""/our-work/plan-x-unsplash"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-points4purpose/"",""/our-work/our-work-points4purpose/"")",Points4Purpose,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/points4purpose"",""/our-work/points4purpose"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/points4purpose"",""/our-work/points4purpose"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-safeground/"",""/our-work/our-work-safeground/"")",UNMAS: Turning Minefields into Playing Fields,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/safeground"",""/our-work/safeground"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/safeground"",""/our-work/safeground"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-she-should-run/"",""/our-work/our-work-she-should-run/"")",She Should Run,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/she-should-run"",""/our-work/she-should-run"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/she-should-run"",""/our-work/she-should-run"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-tree-free/"",""/our-work/our-work-tree-free/"")",Tree Free Greetings,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/tree-free"",""/our-work/tree-free"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/tree-free"",""/our-work/tree-free"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-tribes-on-the-edge/"",""/our-work/our-work-tribes-on-the-edge/"")",Tribes On The Edge,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/tribes-on-the-edge"",""/our-work/tribes-on-the-edge"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/tribes-on-the-edge"",""/our-work/tribes-on-the-edge"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work-whistlepig/"",""/our-work/our-work-whistlepig/"")",Whistlepig Whiskey,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/whistlepig"",""/our-work/whistlepig"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/whistlepig"",""/our-work/whistlepig"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_lycra_qira-farm-to-fiber-vr-tour/"",""/our-work/our-work_lycra_qira-farm-to-fiber-vr-tour/"")",LYCRA + QIRA: Farm to Fiber VR Tour,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-farm-to-fiber-vr-tour"",""/our-work/lycra-qira-farm-to-fiber-vr-tour"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-farm-to-fiber-vr-tour"",""/our-work/lycra-qira-farm-to-fiber-vr-tour"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_lycra_qira-farm-to-fiber/"",""/our-work/our-work_lycra_qira-farm-to-fiber/"")",LYCRA + QIRA: Farm to Fiber,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-farm-to-fiber"",""/our-work/lycra-qira-farm-to-fiber"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-farm-to-fiber"",""/our-work/lycra-qira-farm-to-fiber"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_lycra_qira-farmer-docuseries/"",""/our-work/our-work_lycra_qira-farmer-docuseries/"")",LYCRA + QIRA: Farmer Docuseries,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-farmer-docuseries"",""/our-work/lycra-qira-farmer-docuseries"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-farmer-docuseries"",""/our-work/lycra-qira-farmer-docuseries"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_lycra_qira-transforming-field-corn-to-fiber/"",""/our-work/our-work_lycra_qira-transforming-field-corn-to-fiber/"")",LYCRA + QIRA: Transforming Field Corn to Fiber,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-transforming-field-corn-to-fiber"",""/our-work/lycra-qira-transforming-field-corn-to-fiber"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/lycra-qira-transforming-field-corn-to-fiber"",""/our-work/lycra-qira-transforming-field-corn-to-fiber"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_qira/"",""/our-work/our-work_qira/"")",QIRA: QIRA vs Fossil Fuel,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/qira"",""/our-work/qira"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/qira"",""/our-work/qira"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_the-lycra-company/"",""/our-work/our-work_the-lycra-company/"")",The Lycra Company: Keep in the Loop,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/the-lycra-company"",""/our-work/the-lycra-company"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/the-lycra-company"",""/our-work/the-lycra-company"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_wasu/"",""/our-work/our-work_wasu/"")",Wasu: The Wasu Story,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/wasu"",""/our-work/wasu"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/wasu"",""/our-work/wasu"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/our-work_whistlepig-pit-viper/"",""/our-work/our-work_whistlepig-pit-viper/"")",Whistlepig + Pit Viper,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/whistlepig-pit-viper"",""/our-work/whistlepig-pit-viper"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/whistlepig-pit-viper"",""/our-work/whistlepig-pit-viper"")",No,,No,Need 301 redirect
Case Study,"=HYPERLINK(""https://grounded.world/our-work/regeneration-sustainability-marketing-case-study-grounded-world/"",""/our-work/regeneration-sustainability-marketing-case-study-grounded-world/"")",Regeneration: Turning Cans into Pans,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/regeneration-sustainability-marketing-case-study-grounded-world"",""/our-work/regeneration-sustainability-marketing-case-study-grounded-world"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/regeneration-sustainability-marketing-case-study-grounded-world"",""/our-work/regeneration-sustainability-marketing-case-study-grounded-world"")",n/a (same path),,No,Same slug - trailing slash only
Case Study,"=HYPERLINK(""https://grounded.world/our-work/unbeelievables-sustainability-case-study-grounded-world/"",""/our-work/unbeelievables-sustainability-case-study-grounded-world/"")",Delhaize: UnBEElieveables,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/unbeelievables-sustainability-case-study-grounded-world"",""/our-work/unbeelievables-sustainability-case-study-grounded-world"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/our-work/unbeelievables-sustainability-case-study-grounded-world"",""/our-work/unbeelievables-sustainability-case-study-grounded-world"")",n/a (same path),,No,Same slug - trailing slash only
Blog Post,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-and-sustainability/61-b-corp-gift-ideas-for-green-friday/"",""/activating-brand-purpose-and-sustainability/61-b-corp-gift-ideas-for-green-friday/"")",61 B Corp Gift Ideas for Green Friday,post,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/61-b-corp-gift-ideas-for-green-friday"",""/resources/articles/61-b-corp-gift-ideas-for-green-friday"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/61-b-corp-gift-ideas-for-green-friday"",""/resources/articles/61-b-corp-gift-ideas-for-green-friday"")",No,,No,Thought leadership post - Matt confirmed these URLs 'can all be changed'. Safe to redirect to /resources/articles/{slug}
Blog Post,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-and-sustainability/a-future-without-cigarettes-shouldnt-be-this-hard-jennifer-motles/"",""/activating-brand-purpose-and-sustainability/a-future-without-cigarettes-shouldnt-be-this-hard-jennifer-motles/"")",A Future Without Cigarettes Shouldn't Be This Hard,post,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/a-future-without-cigarettes-shouldnt-be-this-hard-jennifer-motles"",""/resources/articles/a-future-without-cigarettes-shouldnt-be-this-hard-jennifer-motles"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/a-future-without-cigarettes-shouldnt-be-this-hard-jennifer-motles"",""/resources/articles/a-future-without-cigarettes-shouldnt-be-this-hard-jennifer-motles"")",No,,No,Thought leadership post - Matt confirmed these URLs 'can all be changed'. Safe to redirect to /resources/articles/{slug}
Blog Post,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-and-sustainability/avoid-greenwashing/"",""/activating-brand-purpose-and-sustainability/avoid-greenwashing/"")",Avoid Greenwashing,post,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/avoid-greenwashing"",""/resources/articles/avoid-greenwashing"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/avoid-greenwashing"",""/resources/articles/avoid-greenwashing"")",No,,No,Thought leadership post - Matt confirmed these URLs 'can all be changed'. Safe to redirect to /resources/articles/{slug}
Blog Post,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-and-sustainability/bridging-the-intention-action-gap-in-sustainable-behavior/"",""/activating-brand-purpose-and-sustainability/bridging-the-intention-action-gap-in-sustainable-behavior/"")",Bridging the Intention-Action Gap,post,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/bridging-the-intention-action-gap-in-sustainable-behavior"",""/resources/articles/bridging-the-intention-action-gap-in-sustainable-behavior"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/bridging-the-intention-action-gap-in-sustainable-behavior"",""/resources/articles/bridging-the-intention-action-gap-in-sustainable-behavior"")",No,,No,Thought leadership post - Matt confirmed these URLs 'can all be changed'. Safe to redirect to /resources/articles/{slug}
Blog Post,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-and-sustainability/cancel-culture-in-climate/"",""/activating-brand-purpose-and-sustainability/cancel-culture-in-climate/"")",Cancel Culture in Climate,post,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/cancel-culture-in-climate"",""/resources/articles/cancel-culture-in-climate"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/cancel-culture-in-climate"",""/resources/articles/cancel-culture-in-climate"")",No,,No,Thought leadership post - Matt confirmed these URLs 'can all be changed'. Safe to redirect to /resources/articles/{slug}
Blog Post,"=HYPERLINK(""https://grounded.world/activating-brand-purpose-and-sustainability/circular-brand-activation-in-switzerland-how-qwstion-id-geneve-and-zuriga-are-building-regenerative-brands/"",""/activating-brand-purpose-and-sustainability/circular-brand-activation-in-switzerland-how-qwstion-id-geneve-and-zuriga-are-building-regenerative-brands/"")",Circular Brand Activation in Switzerland,post,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/circular-brand-activation-in-switzerland-how-qwstion-id-geneve-and-zuriga-are-building-regenerative-brands"",""/resources/articles/circular-brand-activation-in-switzerland-how-qwstion-id-geneve-and-zuriga-are-building-regenerative-brands"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/resources/articles/circular-brand-activation-in-switzerland-how-qwstion-id-geneve-and-zuriga-are-building-regenerative-brands"",""/resources/articles/circular-brand-activation-in-switzerland-how-qwstion-id-geneve-and-zuriga-are-building-regenerative-brands"")",No,,No,Thought leadership post - Matt confirmed these URLs 'can all be changed'. Safe to redirect to /resources/articles/{slug}
